Year,State,URL
2022,Northern Marianas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Northern_Marianas_PYs_2022-2023_(Mod).pdf
2022,Ohio,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Ohio_PYs_2022-2023_(Mod).pdf
2022,Oklahoma,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Oklahoma_PYs_2022-2023_(Mod).pdf
2022,Oregon,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Oregon_PYs_2022-2023_(Mod).pdf
2022,Palau,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Palau_PYs_2022-2023_(Mod).pdf
2022,Pennsylvania,
2022,Puerto Rico,
2022,Rhode Island,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Rhode_Island_PYs_2022-2023_(Mod).pdf
2022,South Carolina,
2022,South Dakota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/South_Dakota_PYs_2022-2023_(Mod).pdf
2022,Tennessee,
2022,Texas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Texas_PYs_2022-2023_(Mod).pdf
2022,Utah,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Utah_PYs_2022-2023_(Mod).pdf
2022,Vermont,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Vermont_PYs_2022-2023_(Mod).pdf
2022,Virgin Islands,
2022,Virginia,
2022,Washington,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Washington_PYs_2022-2023_(Mod).pdf
2022,West Virginia,
2022,Wisconsin,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Wisconsin_PYs_2022-2023_(Mod).pdf
2022,Wyoming,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Wyoming_PYs_2022-2023_(Mod).pdf
2024,Alabama,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Alabama_PYs_2024-2027.docx
2024,Alaska,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Alaska_PYs_2024-2027.docx
2024,American Samoa,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/American_Samoa_PYs_2024-2027.docx
2024,Arizona,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Arizona_PYs_2024-2027.docx
2024,Arkansas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2024/Arkansas_PYs_2024-2027.docx
